mf_id,num_candidates,candidates
SMBP2_HUMAN,5,"V9HWJ0_HUMAN,A0A2R8Y438_HUMAN,E9PR38_HUMAN,GANAB_HUMAN,UN45A_HUMAN"
A7UKY0_HUMAN,5,"HHEX_HUMAN,KCIP2_HUMAN,TIGAR_HUMAN,SPI1_HUMAN,TSN17_HUMAN"
P3C2G_HUMAN,6,"SNED1_HUMAN,FHAD1_HUMAN,A0A6Q8PFY3_HUMAN,MIA2_HUMAN,ERBIN_HUMAN,F8W9S7_HUMAN"
PK3CA_HUMAN,6,"E9PK67_HUMAN,CND3_HUMAN,SMG5_HUMAN,PTPR2_HUMAN,SKOR2_HUMAN,MAML1_HUMAN"
SRPK2_HUMAN,6,"SARM1_HUMAN,P85A_HUMAN,LARP4_HUMAN,H0YB16_HUMAN,HS90B_HUMAN,DLG4_HUMAN"
HSP7C_HUMAN,6,"ZN653_HUMAN,DDX5_HUMAN,FA12_HUMAN,NUB1_HUMAN,MSL1_HUMAN,A0A0D2X7Z3_HUMAN"
FAS_HUMAN,6,"A0A804HID9_HUMAN,FILA2_HUMAN,A0A804HLC5_HUMAN,A0A087WYQ1_HUMAN,RP1L1_HUMAN,SPTN2_HUMAN"
ERBB3_HUMAN,6,"GAK_HUMAN,ARGAL_HUMAN,CLU_HUMAN,RAD50_HUMAN,AFF2_HUMAN,AMRA1_HUMAN"
ARNT_HUMAN,6,"STAT1_HUMAN,MUTA_HUMAN,POMT2_HUMAN,A0A6Q8PGB2_HUMAN,NEP_HUMAN,FOLH1_HUMAN"
MET16_HUMAN,6,"NECT2_HUMAN,CARD9_HUMAN,EHD3_HUMAN,SAMD1_HUMAN,GBA1_HUMAN,SSDH_HUMAN"
FPPS_HUMAN,6,"GORS1_HUMAN,ETS1_HUMAN,GBRP_HUMAN,UBP27_HUMAN,PAFA_HUMAN,NUSAP_HUMAN"
NU214_HUMAN,6,"TANC2_HUMAN,FYV1_HUMAN,SCN9A_HUMAN,EXPH5_HUMAN,TRIPC_HUMAN,E9PN67_HUMAN"
CFTR_HUMAN,6,"RIMS2_HUMAN,RRBP1_HUMAN,TCPR2_HUMAN,POGZ_HUMAN,TENS2_HUMAN,ZN609_HUMAN"
MDR1_HUMAN,6,"A0A8I5QKT2_HUMAN,A0A6Q8PGW3_HUMAN,SF3B3_HUMAN,AT135_HUMAN,SMC3_HUMAN,Q05331_HUMAN"
RL22_HUMAN,6,"IL5_HUMAN,ZN593_HUMAN,SYUB_HUMAN,CCL21_HUMAN,D6RIS4_HUMAN,O15202_HUMAN"
ZO2_HUMAN,6,"M18BP_HUMAN,TERT_HUMAN,BAG6_HUMAN,AT11C_HUMAN,JAK2_HUMAN,SAC2_HUMAN"
TIMP1_HUMAN,6,"RB39A_HUMAN,GRB2_HUMAN,HAND2_HUMAN,RL10A_HUMAN,COQ7_HUMAN,HOP2_HUMAN"
TGM2_HUMAN,6,"ECHP_HUMAN,GGA3_HUMAN,LRSM1_HUMAN,BBS10_HUMAN,ES8L1_HUMAN,VPS52_HUMAN"
HS71B_HUMAN,6,"MEN1_HUMAN,LYAM2_HUMAN,PDE12_HUMAN,PO6F1_HUMAN,KAT7_HUMAN,KLH20_HUMAN"
TEP1_HUMAN,6,"H0Y465_HUMAN,FAS_HUMAN,CAC1A_HUMAN,ZN462_HUMAN,C9J0Q5_HUMAN,A0A0U1RQF0_HUMAN"
LRRK2_HUMAN,6,"H3BTW3_HUMAN,A0A1B0GTJ8_HUMAN,SON_HUMAN,SPTA1_HUMAN,ZEP3_HUMAN,EP300_HUMAN"
DUOX1_HUMAN,6,"NRX1A_HUMAN,AGRL1_HUMAN,A0A804HKJ9_HUMAN,E9PFH2_HUMAN,NU153_HUMAN,A2MG_HUMAN"
NU153_HUMAN,6,"A0A804HIN4_HUMAN,BIRC1_HUMAN,A0A7P0Z436_HUMAN,UBP6_HUMAN,CE162_HUMAN,A0A087WW76_HUMAN"
PASK_HUMAN,6,"IRS4_HUMAN,L1CAM_HUMAN,ARI4A_HUMAN,LIPA2_HUMAN,F5GYF8_HUMAN,STAG1_HUMAN"
ZO3_HUMAN,6,"UBE3A_HUMAN,IMB1_HUMAN,STPAP_HUMAN,ENPP3_HUMAN,S4A11_HUMAN,PDE5A_HUMAN"
MRP3_HUMAN,6,"CCD18_HUMAN,FACD2_HUMAN,H7C1M2_HUMAN,MED14_HUMAN,LRRC9_HUMAN,A2ML1_HUMAN"
RAB6A_HUMAN,6,"ZBED2_HUMAN,TAF10_HUMAN,RB27B_HUMAN,SCN1B_HUMAN,CLD5_HUMAN,RB11B_HUMAN"
NSD1_HUMAN,6,"MY18B_HUMAN,E9PEM5_HUMAN,STAB1_HUMAN,A0A804HK76_HUMAN,ZFHX2_HUMAN,CHD8_HUMAN"
DUS28_HUMAN,6,"H0YBC7_HUMAN,DUS3_HUMAN,CCD32_HUMAN,REL2_HUMAN,IFT22_HUMAN,ADML_HUMAN"
PR40A_HUMAN,6,"A0A140VK49_HUMAN,PIDD1_HUMAN,A0A3B3ITZ9_HUMAN,A0A1B0GTU7_HUMAN,AGRF1_HUMAN,H0Y8X6_HUMAN"
PRDX6_HUMAN,6,"TMED9_HUMAN,TCAM2_HUMAN,MIC25_HUMAN,DERL3_HUMAN,SWI5_HUMAN,NAA10_HUMAN"
TYB4_HUMAN,6,"TB15B_HUMAN,SEHBP_HUMAN,F2Z2Z9_HUMAN,E5RGR5_HUMAN,X6RKQ2_HUMAN,C9JM62_HUMAN"
RN213_HUMAN,6,"A0A075B730_HUMAN,MUC2_HUMAN,ABCAD_HUMAN,USH2A_HUMAN,MUC4_HUMAN,RYR2_HUMAN"
HD_HUMAN,6,"A0A088AWP5_HUMAN,CELR1_HUMAN,BPTF_HUMAN,RBP2_HUMAN,KALRN_HUMAN,A0A6I8PRU0_HUMAN"
MT3_HUMAN,6,"SNURF_HUMAN,B1AKA9_HUMAN,A0A087WUW1_HUMAN,J3QRD7_HUMAN,Q13731_HUMAN,K7ESL1_HUMAN"
SKI2_HUMAN,6,"PCD12_HUMAN,A0A804HJ75_HUMAN,PLCB2_HUMAN,LIPA4_HUMAN,ERCC5_HUMAN,PALB2_HUMAN"
MT1E_HUMAN,6,"KR213_HUMAN,C9J0S9_HUMAN,C9JDC5_HUMAN,MT1G_HUMAN,KR196_HUMAN,SHMOS_HUMAN"
NED4L_HUMAN,6,"DEN2C_HUMAN,RB_HUMAN,GBA2_HUMAN,BCAS3_HUMAN,A0A5F9ZGX9_HUMAN,NIBA1_HUMAN"
DB114_HUMAN,6,"SPR2F_HUMAN,GBG12_HUMAN,F5H1P9_HUMAN,SPR2A_HUMAN,E9PS26_HUMAN,M0R1W4_HUMAN"
KAT6B_HUMAN,6,"A0A6Q8PGB0_HUMAN,H0YJS3_HUMAN,E9PHB6_HUMAN,RPB1_HUMAN,C8AP2_HUMAN,CAC1F_HUMAN"
RRP44_HUMAN,6,"H0Y3R4_HUMAN,A0A8I5KRB5_HUMAN,KCNB2_HUMAN,ACTN4_HUMAN,MAN1_HUMAN,E2F7_HUMAN"
MARK2_HUMAN,6,"APBA2_HUMAN,SEM3B_HUMAN,PHEX_HUMAN,RFX3_HUMAN,PA24A_HUMAN,E9PLP8_HUMAN"
NR4A1_HUMAN,6,"MMP21_HUMAN,AAKG2_HUMAN,F5H5U2_HUMAN,SPT16_HUMAN,IL1R1_HUMAN,RABE2_HUMAN"
CRYAB_HUMAN,6,"GREM1_HUMAN,B8ZZ93_HUMAN,RAP1A_HUMAN,HDBP1_HUMAN,RHEB_HUMAN,ARL2_HUMAN"
LKHA4_HUMAN,6,"PYRD2_HUMAN,A0A6Q8PHL9_HUMAN,A0A494C0Q6_HUMAN,GLT12_HUMAN,SL9A8_HUMAN,FZD10_HUMAN"
FLNA_HUMAN,6,"USP9X_HUMAN,Q17RV3_HUMAN,ZFY26_HUMAN,STAB2_HUMAN,PIEZ1_HUMAN,NOTC1_HUMAN"
SETBP_HUMAN,6,"DOT1L_HUMAN,CLAP1_HUMAN,NFAT5_HUMAN,TOPB1_HUMAN,A0A3B3IT25_HUMAN,SLIT3_HUMAN"
PPAC_HUMAN,6,"UB2G2_HUMAN,HES5_HUMAN,PPIA_HUMAN,PPIL1_HUMAN,COF1_HUMAN,THIOM_HUMAN"
PUR2_HUMAN,6,"H3BP71_HUMAN,B7Z2R1_HUMAN,A0A8I5KRN0_HUMAN,A0A6Q8PF33_HUMAN,B1AKL4_HUMAN,RBM19_HUMAN"
BRSK1_HUMAN,6,"A4FUA6_HUMAN,NALD2_HUMAN,ABCD2_HUMAN,C9JMN1_HUMAN,DAXX_HUMAN,POLI_HUMAN"
FGF2_HUMAN,6,"ORAI1_HUMAN,NKX26_HUMAN,CHIP_HUMAN,CDK4_HUMAN,KLF7_HUMAN,GIMA7_HUMAN"
POTE1_HUMAN,6,"MTM1_HUMAN,GLT10_HUMAN,HAUS3_HUMAN,E9PIN3_HUMAN,GALT9_HUMAN,NR2C1_HUMAN"
TRI15_HUMAN,6,"ZDHC1_HUMAN,NOE1_HUMAN,KMO_HUMAN,CELF1_HUMAN,HCLS1_HUMAN,SRMS_HUMAN"
PI5PA_HUMAN,6,"MDGA2_HUMAN,C9J7E5_HUMAN,DRP2_HUMAN,AMPE_HUMAN,ZHX3_HUMAN,A0A158RFW1_HUMAN"
NF2L2_HUMAN,6,"POC5_HUMAN,TFE3_HUMAN,P2R3B_HUMAN,A0A6Q8PFM9_HUMAN,APBA3_HUMAN,TRBM_HUMAN"
ENOA_HUMAN,6,"MYC_HUMAN,GBRA1_HUMAN,RUNX1_HUMAN,BCL3_HUMAN,GUAD_HUMAN,PRUN1_HUMAN"
DFB4A_HUMAN,6,"A0A0A0MRK5_HUMAN,H0YNX7_HUMAN,H0YCZ6_HUMAN,GBG13_HUMAN,C9JAK9_HUMAN,D103A_HUMAN"
PLCG2_HUMAN,6,"XPO5_HUMAN,INT2_HUMAN,H7C2C6_HUMAN,A0A8I5KXH8_HUMAN,LIPA1_HUMAN,HCN4_HUMAN"
SRC_HUMAN,6,"FBX15_HUMAN,K4PZ75_HUMAN,A0A0S2Z592_HUMAN,A0A7P0T843_HUMAN,A0A0S2Z4C3_HUMAN,TOE1_HUMAN"
TNKS1_HUMAN,6,"Q5VZU9_HUMAN,A0A7I2V4R5_HUMAN,A0A804HL87_HUMAN,SYIC_HUMAN,SGO2_HUMAN,PLCG2_HUMAN"
PTPR2_HUMAN,6,"PTPRN_HUMAN,KIT_HUMAN,NAC1_HUMAN,SYAC_HUMAN,Z3H7B_HUMAN,PKD2_HUMAN"
GRHL1_HUMAN,6,"A0A5F9ZHZ5_HUMAN,B2RDF2_HUMAN,Q5H909_HUMAN,H0Y5R1_HUMAN,DYRK3_HUMAN,ASB15_HUMAN"
PGM2_HUMAN,6,"SYN2_HUMAN,LYRIC_HUMAN,SHC2_HUMAN,A0A8I5KTR5_HUMAN,DCP1A_HUMAN,FKB10_HUMAN"
DESP_HUMAN,6,"E7ETD6_HUMAN,A0A140VK53_HUMAN,ITPR1_HUMAN,E7EPN9_HUMAN,E9PDC2_HUMAN,UBR5_HUMAN"
XDH_HUMAN,6,"F8VXG7_HUMAN,E9PKC0_HUMAN,BCR_HUMAN,A0A1B0GV09_HUMAN,VIGLN_HUMAN,A0A087X2C4_HUMAN"
MTMR3_HUMAN,6,"F184A_HUMAN,MYPC2_HUMAN,COJA1_HUMAN,NGAP_HUMAN,MYPC1_HUMAN,MAGC1_HUMAN"
KSYK_HUMAN,6,"NET1_HUMAN,A0A140VKE5_HUMAN,B4DN07_HUMAN,A0A7P0T961_HUMAN,MAON_HUMAN,A0A2U3TZN9_HUMAN"
RS12_HUMAN,6,"GOGA7_HUMAN,FABP5_HUMAN,CST11_HUMAN,RNK_HUMAN,RS17_HUMAN,RL28_HUMAN"
TNAP3_HUMAN,6,"A0A1W2PR74_HUMAN,A0A090N8E9_HUMAN,A0A087WT78_HUMAN,B4E1C1_HUMAN,A0A0F7NGI8_HUMAN,A0A090N7U3_HUMAN"
RS21_HUMAN,6,"CX7A1_HUMAN,SMR3B_HUMAN,A0A286YF53_HUMAN,ISK1_HUMAN,CKS1_HUMAN,Q709A9_HUMAN"
GANP_HUMAN,6,"A0A2R8YFK9_HUMAN,A0A669KBG8_HUMAN,A0A669KB10_HUMAN,A0A8I5KVF2_HUMAN,A0A8I5KTI7_HUMAN,A0A2R8Y5J0_HUMAN"
FIG4_HUMAN,6,"PROM1_HUMAN,SEM4D_HUMAN,MILK1_HUMAN,TAF4B_HUMAN,ENPP2_HUMAN,CEP97_HUMAN"
BIP_HUMAN,6,"THRB_HUMAN,ZDH13_HUMAN,MATN4_HUMAN,DTX2_HUMAN,FANCG_HUMAN,A0A2R8Y5G6_HUMAN"
S27A6_HUMAN,6,"A0A2R8Y7L2_HUMAN,A0A6Q8PFS4_HUMAN,A0A1B0GTP9_HUMAN,ARSL_HUMAN,ZBT46_HUMAN,POF1B_HUMAN"
DPOE1_HUMAN,6,"FREM1_HUMAN,E9PDI6_HUMAN,KNTC1_HUMAN,INT1_HUMAN,UN13C_HUMAN,A0A3B3ITG1_HUMAN"
PLB1_HUMAN,6,"A0A804HK30_HUMAN,A0A804HKJ0_HUMAN,NU155_HUMAN,RBGPR_HUMAN,GASP1_HUMAN,ATAD2_HUMAN"
PK3CG_HUMAN,6,"ITAV_HUMAN,ST18_HUMAN,H0Y3N9_HUMAN,I3L2J8_HUMAN,A0A2R8YEE0_HUMAN,ZN217_HUMAN"
AMD_HUMAN,6,"A0A590UJ75_HUMAN,STOX2_HUMAN,RIGI_HUMAN,A0A2R8YEC9_HUMAN,A4D0W4_HUMAN,OTU7A_HUMAN"
NEDD8_HUMAN,6,"LEAP2_HUMAN,H3BMM2_HUMAN,SVIP_HUMAN,P78328_HUMAN,B9A032_HUMAN,M0QXM8_HUMAN"
MSRB1_HUMAN,6,"H7C173_HUMAN,E9PNB9_HUMAN,F8VYH5_HUMAN,F5H285_HUMAN,A0A0C4DG57_HUMAN,A0A087WW33_HUMAN"
OFD1_HUMAN,6,"A0A0D9SGC1_HUMAN,LRP8_HUMAN,SART3_HUMAN,IREB2_HUMAN,AGRD2_HUMAN,IPO13_HUMAN"
EXOS7_HUMAN,6,"A0A087X2D5_HUMAN,AIDA_HUMAN,PRRT1_HUMAN,A0A5F9ZHD4_HUMAN,DOK5_HUMAN,PABP2_HUMAN"
PAK1_HUMAN,6,"ASB3_HUMAN,M0R0L2_HUMAN,MSPD2_HUMAN,M0R2A8_HUMAN,SYSM_HUMAN,UTP15_HUMAN"
AL7A1_HUMAN,6,"G3V5S2_HUMAN,MMP27_HUMAN,A0A1U9X8R9_HUMAN,Q5W015_HUMAN,A0A7P0T9A7_HUMAN,KAT5_HUMAN"
SYYC_HUMAN,6,"SPHM_HUMAN,CP2J2_HUMAN,A0A7P0Z4G8_HUMAN,CP3A5_HUMAN,P4HTM_HUMAN,ACHA7_HUMAN"
RBX1_HUMAN,6,"FMC1_HUMAN,A0A0A0MTT8_HUMAN,PATE2_HUMAN,K7EP01_HUMAN,F5H785_HUMAN,CD046_HUMAN"
KAD4_HUMAN,6,"NKX31_HUMAN,MASU1_HUMAN,CHM4C_HUMAN,KITH_HUMAN,TNFA_HUMAN,B2CL1_HUMAN"
GRHL2_HUMAN,6,"CHDH_HUMAN,D6RC99_HUMAN,F200C_HUMAN,E9PFR3_HUMAN,GAR4_HUMAN,X5D907_HUMAN"
DPOD1_HUMAN,6,"NAL12_HUMAN,A0A3B3IT55_HUMAN,FAK1_HUMAN,PK3CB_HUMAN,ANPRA_HUMAN,SMCA5_HUMAN"
HDA10_HUMAN,6,"CASC3_HUMAN,ATF6B_HUMAN,FXL17_HUMAN,NOLC1_HUMAN,TRAP1_HUMAN,LSHR_HUMAN"
SRC8_HUMAN,6,"A0A5F9ZHY9_HUMAN,KDM4D_HUMAN,A0A8I5KRC0_HUMAN,BT2A2_HUMAN,E5RFU2_HUMAN,MOT7_HUMAN"
RS27L_HUMAN,6,"CNBP1_HUMAN,NDUA4_HUMAN,APC11_HUMAN,FCERG_HUMAN,LSM6_HUMAN,APOC1_HUMAN"
CD2B2_HUMAN,6,"A0A8I5KYH4_HUMAN,CEBPA_HUMAN,GDAP1_HUMAN,GPR87_HUMAN,Q5STV6_HUMAN,A0A7I2V5U7_HUMAN"
HSF1_HUMAN,6,"A0A2R8YFQ8_HUMAN,A0A515VFR0_HUMAN,ZBT37_HUMAN,Q59EF0_HUMAN,CP343_HUMAN,A0A096LP39_HUMAN"
PPBT_HUMAN,6,"A0A0A6YY92_HUMAN,A0A096LNY6_HUMAN,Q9H9W4_HUMAN,B4DP46_HUMAN,NMT2_HUMAN,X6R8A1_HUMAN"
ASH1L_HUMAN,6,"APC_HUMAN,HORN_HUMAN,MXRA5_HUMAN,A0A7P0TA60_HUMAN,ZZEF1_HUMAN,DESP_HUMAN"
SETD2_HUMAN,6,"CBP_HUMAN,E9PEZ1_HUMAN,A0A087WXK5_HUMAN,F5GXF5_HUMAN,NAV2_HUMAN,NCOR1_HUMAN"
CHD3_HUMAN,6,"A0A1B0GTU5_HUMAN,A0A2R8Y212_HUMAN,BAZ2A_HUMAN,H0Y488_HUMAN,A0A804HIC2_HUMAN,F5GWX5_HUMAN"
ITA4_HUMAN,6,"ANO3_HUMAN,A0A2R8Y7M0_HUMAN,A0A499FI31_HUMAN,A0A6Q8PGN5_HUMAN,F5H2T0_HUMAN,B0ZBF6_HUMAN"
PAPS1_HUMAN,6,"MIGA2_HUMAN,A0A1B0GV70_HUMAN,CPNE5_HUMAN,ES8L3_HUMAN,A0A7P0TB21_HUMAN,A0A6Q8PGR8_HUMAN"
LDHA_HUMAN,6,"APOH_HUMAN,NU2M_HUMAN,EFNB3_HUMAN,R113A_HUMAN,WNT7A_HUMAN,OGG1_HUMAN"
CDT1_HUMAN,6,"MBTP2_HUMAN,E9PDY7_HUMAN,CP4AB_HUMAN,BBS4_HUMAN,CD20B_HUMAN,RIOK3_HUMAN"
RUVB1_HUMAN,6,"A0A2R8Y4U4_HUMAN,BCL6B_HUMAN,PAIP1_HUMAN,PPM1B_HUMAN,FXL16_HUMAN,A0A7P0T8X1_HUMAN"
ZEP1_HUMAN,6,"IGS10_HUMAN,HECD1_HUMAN,DPOLQ_HUMAN,BDP1_HUMAN,GCN1_HUMAN,ATR_HUMAN"
SDF1_HUMAN,6,"H7C0G6_HUMAN,A7L3B_HUMAN,A4D158_HUMAN,CX6A2_HUMAN,TIM8A_HUMAN,F5GXW5_HUMAN"
GBRAP_HUMAN,6,"PSMG4_HUMAN,C9K074_HUMAN,H0YJW1_HUMAN,KRA22_HUMAN,MSS4_HUMAN,F5H1N0_HUMAN"
B3AT_HUMAN,6,"WWP2_HUMAN,DYN2_HUMAN,PA24E_HUMAN,SULF2_HUMAN,ZN473_HUMAN,BCAR1_HUMAN"
FASTK_HUMAN,6,"SNX1_HUMAN,TPTE2_HUMAN,A0A0A0MSZ4_HUMAN,B0QZE2_HUMAN,SOAT2_HUMAN,V9HW90_HUMAN"
EIF3D_HUMAN,6,"D2HDH_HUMAN,A0A7P0T9D6_HUMAN,MS3L1_HUMAN,GADL1_HUMAN,Q5T1M7_HUMAN,A0A804HHW6_HUMAN"
AATM_HUMAN,6,"GLRA2_HUMAN,ZN672_HUMAN,A0A7I2V2H9_HUMAN,TAM41_HUMAN,E9PC49_HUMAN,TRI49_HUMAN"
KMT2A_HUMAN,6,"ANK2_HUMAN,PRKDC_HUMAN,A0A804HKS3_HUMAN,A0A7P0T8N5_HUMAN,A0A7P0TBH8_HUMAN,AKAP9_HUMAN"
CDK13_HUMAN,6,"RHG31_HUMAN,SETD5_HUMAN,A0A8I5KXH7_HUMAN,PTPRT_HUMAN,ARAP1_HUMAN,A0A8I5KYW1_HUMAN"
PLCG1_HUMAN,6,"B3A3_HUMAN,A0A0C4DG33_HUMAN,NMDE3_HUMAN,MMRN1_HUMAN,DSRAD_HUMAN,A0A6Q8PF66_HUMAN"
ERBB2_HUMAN,6,"MTMR3_HUMAN,TREF1_HUMAN,TTLL4_HUMAN,E7EU13_HUMAN,SMC2_HUMAN,AT134_HUMAN"
ACSS3_HUMAN,6,"ACSL3_HUMAN,LARG2_HUMAN,MD1L1_HUMAN,DVL3_HUMAN,EXT2_HUMAN,IKKE_HUMAN"
PLPP1_HUMAN,6,"KHK_HUMAN,A0A8I5KR71_HUMAN,ADT2_HUMAN,A0A5K1VW56_HUMAN,BIRC7_HUMAN,C9IZQ1_HUMAN"
P3C2B_HUMAN,6,"B4DGF1_HUMAN,ARHG5_HUMAN,A0A7I2Y1C3_HUMAN,B2RU06_HUMAN,IF4G1_HUMAN,TIAM1_HUMAN"
DEF1_HUMAN,6,"H3BT34_HUMAN,KRA33_HUMAN,Q6FGG5_HUMAN,F8W8Z9_HUMAN,E9PIJ6_HUMAN,H0YLX0_HUMAN"
ODFP2_HUMAN,6,"NASP_HUMAN,CAD10_HUMAN,A0A804CCZ3_HUMAN,CAD18_HUMAN,A0A3B3ISQ4_HUMAN,A0A7P0TAE1_HUMAN"
MARK1_HUMAN,6,"G3V180_HUMAN,CD248_HUMAN,RXFP1_HUMAN,G3V1D3_HUMAN,PLCD1_HUMAN,MFN2_HUMAN"
AOFA_HUMAN,6,"SPCS_HUMAN,FOXC2_HUMAN,CP2R1_HUMAN,BACE1_HUMAN,A0A140VJW5_HUMAN,ARMC6_HUMAN"
CP4AB_HUMAN,6,"KCNF1_HUMAN,ONEC3_HUMAN,AL9A1_HUMAN,SPX3_HUMAN,RHG19_HUMAN,A0A499FIY5_HUMAN"
GDE_HUMAN,6,"A2A3C1_HUMAN,MYOM2_HUMAN,A0A087WZX0_HUMAN,A0A2X0SFF2_HUMAN,PLA2R_HUMAN,AT10B_HUMAN"
P121A_HUMAN,6,"PKHG4_HUMAN,ARI5B_HUMAN,A0A8I5KYV3_HUMAN,ZNF91_HUMAN,HAIR_HUMAN,AT8B4_HUMAN"
GP1BA_HUMAN,6,"LMNB2_HUMAN,ZNF93_HUMAN,GLIS1_HUMAN,FXR1_HUMAN,C9JRJ5_HUMAN,ASML_HUMAN"
DUS3L_HUMAN,6,"ZN668_HUMAN,GRHL1_HUMAN,Q6IAR4_HUMAN,A0A8I5KRK9_HUMAN,ZNF48_HUMAN,DLL3_HUMAN"
PLPP6_HUMAN,6,"H3BST3_HUMAN,D6RJ07_HUMAN,H0Y3U6_HUMAN,A0A0A0MS38_HUMAN,A0A0S2Z3M4_HUMAN,NTAN1_HUMAN"
MRP7_HUMAN,6,"E7EWD6_HUMAN,A0A087WTD7_HUMAN,VPS8_HUMAN,CSKI1_HUMAN,BCL9_HUMAN,A0A804HKI2_HUMAN"
MGT5B_HUMAN,6,"VWA2_HUMAN,A0A8I5KYP8_HUMAN,ELOA2_HUMAN,MARK3_HUMAN,TRI56_HUMAN,PCSK4_HUMAN"
GSTT2_HUMAN,6,"PRDX3_HUMAN,D6RCD0_HUMAN,SURF2_HUMAN,Q08ET0_HUMAN,A0A087WTB0_HUMAN,A0A8I5KTT0_HUMAN"
ENTP4_HUMAN,6,"A0A8I5KWH1_HUMAN,PYRG2_HUMAN,A0A8I5KPV0_HUMAN,SAC1_HUMAN,ACSM3_HUMAN,S6OS1_HUMAN"
EST1_HUMAN,6,"FBW1B_HUMAN,TF65_HUMAN,5NTC_HUMAN,PAK1_HUMAN,TERF2_HUMAN,TF2H1_HUMAN"
ESR2_HUMAN,6,"V9HW06_HUMAN,A0A8I5KUM4_HUMAN,H0Y8C4_HUMAN,PLPL2_HUMAN,HHATL_HUMAN,A0A024QZ33_HUMAN"
PEX1_HUMAN,6,"NOMO1_HUMAN,AGRG6_HUMAN,WDR11_HUMAN,Q17R88_HUMAN,NOMO3_HUMAN,ATS14_HUMAN"
RL12_HUMAN,6,"C9J8V5_HUMAN,CABP5_HUMAN,A0A0U1RQM8_HUMAN,TRGC1_HUMAN,HES2_HUMAN,CKLF8_HUMAN"
DAZP2_HUMAN,6,"NC2B_HUMAN,RL18A_HUMAN,GET1_HUMAN,DNPH1_HUMAN,C9JUD5_HUMAN,REG3A_HUMAN"
NR1H2_HUMAN,6,"HDAC1_HUMAN,AKT2_HUMAN,SESN2_HUMAN,KS6B2_HUMAN,ERLEC_HUMAN,AKT1_HUMAN"
PYR1_HUMAN,6,"A0A804HJT1_HUMAN,B0I1T6_HUMAN,A0A2R8Y590_HUMAN,BAZ2B_HUMAN,MYO9B_HUMAN,MALR1_HUMAN"
PKP4_HUMAN,6,"RPA2_HUMAN,MCF2L_HUMAN,DEN2B_HUMAN,B0I1S9_HUMAN,S4A5_HUMAN,HMHA1_HUMAN"
PK3CB_HUMAN,6,"FAN1_HUMAN,IDE_HUMAN,DPYD_HUMAN,AT1A2_HUMAN,AGRG2_HUMAN,NAT10_HUMAN"
