target_id,num_candidates,candidates
XDH1_ARATH,6,"SPT62_ARATH,NPHP3_MOUSE,ABCBB_MOUSE,KTN1_MOUSE,ULK4_MOUSE,F4I420_ARATH"
RS10_ECOLI,6,"PCP11_ARATH,DRMH1_ARATH,CENPX_ARATH,LCFC1_MOUSE,CH10_ARATH,INH3_ARATH"
THIO_ECOLI,6,"EF4L4_ARATH,O81005_ARATH,YOAB_ECOLI,CYC1_ARATH,PEP2_ARATH,YAFU_ECOLI"
S10A9_MOUSE,6,"BIC2_ARATH,F4IB54_ARATH,CYT4_ARATH,ATG8I_ARATH,RLA1_MOUSE,SPT4A_MOUSE"
TRXH3_ARATH,6,"Q8RUI1_ARATH,PSCA_MOUSE,MSYB_ECOLI,ATG8F_ARATH,TAF13_MOUSE,ATG8H_ARATH"
RL14_ECOLI,6,"MRAP_MOUSE,M0QW72_MOUSE,H2B2E_MOUSE,A0A2H1ZEF6_ARATH,ERG28_ARATH,BL1S2_ARATH"
RS12_ECOLI,6,"ATG8E_ARATH,Q3TMR0_MOUSE,CARP1_ARATH,SPH22_ARATH,YQJF_ECOLI,Q9LP53_ARATH"
TTBK2_MOUSE,6,"F4HYJ6_ARATH,ALA11_ARATH,FH14_ARATH,CARB_ARATH,DSC2_ARATH,NRPB2_ARATH"
RS8_ECOLI,6,"GDU5_ARATH,RT16_ARATH,RL32P_MOUSE,ATPE_ARATH,ACPM3_ARATH,AGP11_ARATH"
BRI1_ARATH,6,"A0A178VA17_ARATH,F4HQ88_ARATH,NIFJ_ECOLI,CSLD3_ARATH,NOL8_MOUSE,MYO3_ARATH"
SMC3_MOUSE,6,"Q3UGX8_MOUSE,CFAH_MOUSE,GNPTA_MOUSE,TDRD1_MOUSE,SC31A_MOUSE,EGFR_MOUSE"
RL32_MOUSE,6,"Q9D963_MOUSE,NFYB4_ARATH,F4JZ39_ARATH,H2AXA_ARATH,ACP5_ARATH,F4KAA4_ARATH"
RPK2_ARATH,6,"GUC2E_MOUSE,BTBD7_MOUSE,NU107_ARATH,S4R1W5_MOUSE,DEGP7_ARATH,F4K2T3_ARATH"
PEPR1_ARATH,6,"CHR17_ARATH,SEC5B_ARATH,RBP17_MOUSE,CESA9_ARATH,F4JY25_ARATH,ACA8_ARATH"
PK3CG_MOUSE,6,"Q920S4_MOUSE,A0A178WL72_ARATH,SMCA5_MOUSE,DI3L2_ARATH,F4KB75_ARATH,SMC5_ARATH"
PEPR2_ARATH,6,"SSY3_ARATH,ARAK_ARATH,PEAR1_MOUSE,SENP7_MOUSE,CSLD1_ARATH,ZEB1_MOUSE"
MOAE_ECOLI,6,"FTRC_ARATH,GAT15_ARATH,PCR1_ARATH,ADF6_ARATH,ADF5_ARATH,Q9FL37_ARATH"
TDR_ARATH,6,"Q80U83_MOUSE,SCAR3_ARATH,C3H31_ARATH,ACA7_ARATH,PP373_ARATH,HPS3_MOUSE"
RS18_ARATH,6,"FLIL_ECOLI,RS113_ARATH,PYL12_ARATH,CLPS1_ARATH,BH146_ARATH,KBP_ECOLI"
COPT2_ARATH,6,"Q7X9H1_ARATH,UBC13_ARATH,F4KDN4_ARATH,RL211_ARATH,2SS3_ARATH,BBX23_ARATH"
PARP1_MOUSE,6,"PHC3_MOUSE,MCTP8_ARATH,Q9DA96_MOUSE,SMXL6_ARATH,U5S1_MOUSE,CAPP2_ARATH"
RL10_ECOLI,6,"HLP_ARATH,Q9C7S3_ARATH,Q9CAW4_ARATH,YFBU_ECOLI,ISU3_ARATH,GPX5_ARATH"
PSKR1_ARATH,6,"Q0WQK1_ARATH,CGEP_ARATH,AT18G_ARATH,PR40A_ARATH,PPDK1_ARATH,PP296_ARATH"
RFAH_ECOLI,6,"RECX_ECOLI,MCH_MOUSE,Q3ULQ2_MOUSE,DRC8_MOUSE,MYL11_MOUSE,ECP1_MOUSE"
BAME2_ARATH,6,"ENOL1_ARATH,AT1A2_MOUSE,KIF23_MOUSE,PLRX1_ARATH,E9PY14_MOUSE,AL2CL_MOUSE"
YHBS_ECOLI,6,"RBCX1_ARATH,SWC6_ARATH,SKP_ECOLI,NRPD7_ARATH,LAZY3_ARATH,ML12B_MOUSE"
HSL2_ARATH,6,"HMA2_ARATH,MED24_MOUSE,Q91Y21_MOUSE,FTSI1_ARATH,GYRA_ARATH,F4KDI6_ARATH"
ERL2_ARATH,6,"Q91XX2_MOUSE,Q91XY6_MOUSE,ADCS_ARATH,F4IC87_ARATH,ZIP4L_ARATH,Q8C8Z4_MOUSE"
HXK1_MOUSE,6,"NMDZ1_MOUSE,NOD2_MOUSE,WAPL1_ARATH,FTSHC_ARATH,INTU_MOUSE,HDAC7_MOUSE"
MCA3_MOUSE,6,"CITX_ECOLI,O64867_ARATH,O80895_ARATH,CVIF2_ARATH,Q9LF49_ARATH,BBX19_ARATH"
RL11_MOUSE,6,"TRXM2_ARATH,ARL11_MOUSE,KLRD1_MOUSE,A0A1Y7VJF8_MOUSE,ATB22_ARATH,LGUL_ARATH"
RS7_ECOLI,6,"TPPP3_MOUSE,Q9M2E4_ARATH,Q9D2Z6_MOUSE,SAP25_MOUSE,ARL2_MOUSE,ALT2_ARATH"
ANO6_MOUSE,6,"AML1_ARATH,F4J3L8_ARATH,Q8RX35_ARATH,ISOA2_ARATH,F4HZC9_ARATH,PANK2_ARATH"
AKH1_ARATH,6,"UNC5A_MOUSE,DEX1_ARATH,Q7TPL6_MOUSE,RHG27_MOUSE,ZZZ3_MOUSE,Q8K119_MOUSE"
NFAC2_MOUSE,6,"GRIA1_MOUSE,ACTN4_MOUSE,LOX3_ARATH,DNM3A_MOUSE,ARFE_ARATH,ANO6_MOUSE"
AGO4_ARATH,6,"CHR25_ARATH,NRP1_MOUSE,PML_MOUSE,GRM3_MOUSE,LOX2_ARATH,Q9R070_MOUSE"
SYCP1_ARATH,6,"SH2D3_MOUSE,BGA11_ARATH,PLRX2_ARATH,AMPD_ARATH,PLDG2_ARATH,APBLA_ARATH"
ADHE_ECOLI,6,"G3UWA2_MOUSE,RABE1_MOUSE,MYRIP_MOUSE,DZIP1_MOUSE,SYF1_MOUSE,NOM1_MOUSE"
SYA_ECOLI,6,"PYGB_MOUSE,TFP11_MOUSE,MUSK_MOUSE,B3H4G8_ARATH,AGO2_MOUSE,Q9JHF5_MOUSE"
POT7_ARATH,6,"NRIF2_MOUSE,M4K2_MOUSE,POLL2_ARATH,POP1_ARATH,F4I448_ARATH,CHX15_ARATH"
ACNB_ECOLI,6,"KAT2A_MOUSE,ELN_MOUSE,PMI1_ARATH,IFT88_MOUSE,PMS2_MOUSE,Q9JL12_MOUSE"
MOG_ECOLI,6,"GAT17_ARATH,HSP22_ARATH,PXMP2_MOUSE,ALT3_ARATH,CFIS2_ARATH,ATP4_ARATH"
SLMA_ECOLI,6,"APK3_ARATH,AGL71_ARATH,GAT20_ARATH,Q5XEN4_ARATH,Q8LDM8_ARATH,Q9M9U3_ARATH"
RNH2_ECOLI,6,"ENTD_ECOLI,RSMD_ECOLI,YOHC_ECOLI,YNJF_ECOLI,HIS5_ECOLI,CBRC_ECOLI"
PRDX2_MOUSE,6,"Q3UY88_MOUSE,Q9EPC4_MOUSE,Q67DU8_MOUSE,PMVK_MOUSE,RAG3E_ARATH,RHOG_MOUSE"
IFT88_MOUSE,6,"F4HQ30_ARATH,IQD32_ARATH,BXL6_ARATH,F4IIZ3_ARATH,RLP30_ARATH,AVP2_ARATH"
FQR1_ARATH,6,"L7N477_MOUSE,TI205_ARATH,GL33_ARATH,A0JQ78_ARATH,AGL72_ARATH,ALC_ARATH"
RL4_ECOLI,6,"RGS1_MOUSE,CLD1_MOUSE,Q7TS58_MOUSE,RGS17_MOUSE,CF418_MOUSE,GSTP2_MOUSE"
LON_ECOLI,6,"LAS1_ARATH,SBT11_ARATH,MCT13_ARATH,F4JN11_ARATH,CHLD_ARATH,YDEP_ECOLI"
RS4_ECOLI,6,"CABP7_MOUSE,Q14AA6_MOUSE,ERD2B_ARATH,A8MRU4_ARATH,PPIB_MOUSE,S4R2K5_MOUSE"
WAKLJ_ARATH,6,"CPSF2_MOUSE,EXO1_ARATH,CNGC9_ARATH,PPR21_ARATH,BGA10_ARATH,FGD3_MOUSE"
RGS1_MOUSE,6,"NXNL1_MOUSE,GNAT9_ARATH,TI171_ARATH,WRK12_ARATH,DMP5_ARATH,SNP25_MOUSE"
HAL3A_ARATH,6,"SC221_ARATH,PSB9_MOUSE,RAB5A_MOUSE,RL13_MOUSE,ROP1L_MOUSE,CSP2_ARATH"
RAC7_ARATH,6,"VA711_ARATH,ALKB_ECOLI,DRE1A_ARATH,SMIP8_MOUSE,RAA2C_ARATH,FUCA_ECOLI"
STAT3_MOUSE,6,"HCN3_MOUSE,PEN1_ARATH,T22D2_MOUSE,ZN366_MOUSE,MURE_ARATH,MMEL1_MOUSE"
WAKLI_ARATH,6,"SCIN_MOUSE,LACS8_ARATH,AAE16_ARATH,CNG14_ARATH,AB19G_ARATH,BGAL4_ARATH"
RL101_ARATH,6,"ATL76_ARATH,HHL1_ARATH,ARFW_ARATH,BH147_ARATH,ACFR2_ARATH,LEA29_ARATH"
AIM1_ARATH,6,"DSLE_ARATH,CNGC4_ARATH,BAM7_ARATH,F4J5T2_ARATH,A2ACQ1_MOUSE,NCPR2_ARATH"
DHAL_ECOLI,6,"DUS19_MOUSE,SLD5_ARATH,CCMB_ECOLI,FSAA_ECOLI,VA714_ARATH,FSAB_ECOLI"
PRDX5_MOUSE,6,"ZFP5_ARATH,T4S19_MOUSE,PMEI7_ARATH,NGAL_MOUSE,FGF10_MOUSE,BAD_MOUSE"
H14_MOUSE,6,"YKGH_ECOLI,ARPIN_MOUSE,YGEA_ECOLI,Q3UF22_MOUSE,RPE5A_ARATH,ARTM_ECOLI"
HS25P_ARATH,6,"CBSX2_ARATH,GSTUA_ARATH,A0A178USJ6_ARATH,ATPO_ARATH,YDIV_ECOLI,FAH2_ARATH"
F26_ARATH,6,"UHRF1_MOUSE,RD29A_ARATH,CODA1_MOUSE,PERL_MOUSE,ZBT24_MOUSE,CAD13_MOUSE"
MFP2_ARATH,6,"FBLN1_MOUSE,NPG1_ARATH,GUAA_MOUSE,AD26A_MOUSE,MEP1B_MOUSE,LCA5_MOUSE"
YTFB_ECOLI,6,"LN28A_MOUSE,PPCT_MOUSE,ZFAN6_MOUSE,DNJB9_MOUSE,MERB1_MOUSE,RHOQ_MOUSE"
GARS_MOUSE,6,"RAD54_MOUSE,GP1BA_MOUSE,TFR1_MOUSE,DLG4_MOUSE,NEP_MOUSE,ZDHC5_MOUSE"
NDK2_ARATH,6,"ALFL1_ARATH,CLPT2_ARATH,DCNL5_MOUSE,A0A2R8VKC7_MOUSE,F4J581_ARATH,NHL2_ARATH"
QUEE_ECOLI,6,"RND1_MOUSE,RFXAP_MOUSE,DGOR_ECOLI,RAB20_MOUSE,TPD52_MOUSE,Q05BJ7_MOUSE"
Y2778_ARATH,6,"Q9CPN9_MOUSE,DEOD_ECOLI,F4J794_ARATH,BH092_ARATH,C3H54_ARATH,PLSC_ECOLI"
RL1_ECOLI,6,"TM86A_MOUSE,T176A_MOUSE,PSB6_MOUSE,ARTJ_ECOLI,STX8_MOUSE,TRY5_MOUSE"
Y1736_ARATH,6,"EF114_ARATH,A0A178U6D3_ARATH,IAH1_MOUSE,WCAE_ECOLI,ALFL3_ARATH,6PGL5_ARATH"
KIF3A_MOUSE,6,"LACS5_ARATH,LRK11_ARATH,LACS4_ARATH,AB23B_ARATH,EXEC1_ARATH,ANP1_ARATH"
PDAT1_ARATH,6,"YAGF_ECOLI,Q9C8H6_ARATH,PR5K_ARATH,B3GTF_ARATH,A0A178VSF7_ARATH,LYK2_ARATH"
CNX1_ARATH,6,"Q9SF50_ARATH,S20A2_MOUSE,RANB9_MOUSE,COG6_ARATH,TRI18_MOUSE,CBPZ_MOUSE"
TKT1_ECOLI,6,"PPR58_ARATH,ASI1_ARATH,Q6PCX8_MOUSE,EMF2_ARATH,F4J3B3_ARATH,CAAT2_ARATH"
PYRH_ECOLI,6,"TPK1_MOUSE,UTP23_MOUSE,EXP15_ARATH,JUNO_MOUSE,STPG4_MOUSE,Y5224_ARATH"
P2C31_ARATH,6,"PPR96_ARATH,NEK5_MOUSE,DC1I1_MOUSE,PARE_ECOLI,VSR4_ARATH,S5A4B_MOUSE"
TGM2_MOUSE,6,"MACOI_MOUSE,STRBP_MOUSE,PGAB_ECOLI,GUX1_ARATH,Q91WW6_MOUSE,ARBK1_MOUSE"
MAX2_ARATH,6,"Q9C5A5_ARATH,SARM1_MOUSE,LRK13_ARATH,ITF2_MOUSE,HPS1_MOUSE,MTA2_MOUSE"
DCXR_MOUSE,6,"ALFL4_ARATH,ERF84_ARATH,PDEH_ECOLI,MYBF_ARATH,YIPF7_MOUSE,Q7X887_ARATH"
Y3550_ARATH,6,"Q9ZUJ3_ARATH,PURNU_ECOLI,EXPA4_ARATH,YAIO_ECOLI,EMX2_MOUSE,ING5_MOUSE"
THAL_ARATH,6,"Q8W112_ARATH,ODP2_MOUSE,LRK32_ARATH,GTR12_MOUSE,PP223_ARATH,HSP7C_ARATH"
SYT_ECOLI,6,"FPP3_ARATH,F4IJS7_ARATH,PP234_ARATH,CPS3B_ARATH,CPNB4_ARATH,PP269_ARATH"
WAKLF_ARATH,6,"CILK1_MOUSE,CRK2_ARATH,SERK1_ARATH,ACES_MOUSE,FMR1_MOUSE,DPO3X_ECOLI"
SIR_ARATH,6,"GCKR_MOUSE,S27A2_MOUSE,COP1_ARATH,PMGT1_MOUSE,CDPK1_ARATH,PIAS3_MOUSE"
MOEB_ECOLI,6,"6PGL2_ARATH,A8MS65_ARATH,14332_ARATH,KCO3_ARATH,A0A178W0D3_ARATH,ERP29_MOUSE"
APRR1_ARATH,6,"ARFL_ARATH,ARFV_ARATH,F4IDS0_ARATH,GH315_ARATH,ACLB1_ARATH,KAD5_ARATH"
HIS2_ARATH,6,"Q84K72_ARATH,14331_ARATH,F4HQH8_ARATH,CHODL_MOUSE,6PGL1_ARATH,A0A1P8AQD8_ARATH"
HCHA_ECOLI,6,"PSB7B_ARATH,MNMM_ARATH,AI5L2_ARATH,BH099_ARATH,TNG2_MOUSE,IF34_ARATH"
BH104_ARATH,6,"Q9LMC7_ARATH,Q9CAS2_ARATH,Q9LSZ4_ARATH,Q9SH08_ARATH,Q9LK14_ARATH,Q94FU0_ARATH"
GH35_ARATH,6,"Y1421_ARATH,Q3UZI0_MOUSE,Q9FK37_ARATH,FES1_ARATH,CAAT6_ARATH,MCCB_ARATH"
WHY1_ARATH,6,"YEEZ_ECOLI,EXPB3_ARATH,P93019_ARATH,F4JEA3_ARATH,ADM_ARATH,F4KAJ5_ARATH"
FOLR1_MOUSE,6,"ITM2A_MOUSE,CPNS1_MOUSE,ITM2B_MOUSE,RNS2_ARATH,Q14B13_MOUSE,NECP2_MOUSE"
MSCS_ECOLI,6,"Q944G8_ARATH,ECH2M_ARATH,SR34A_ARATH,SK2_ARATH,FAF4_ARATH,GATY_ECOLI"
DHQSD_ARATH,6,"ASNS2_ARATH,AAE20_ARATH,A4FVN8_ARATH,CPNA2_ARATH,F4JHC4_ARATH,F4KEA3_ARATH"
MLF1_MOUSE,6,"Q99232_MOUSE,KLRA7_MOUSE,DJC27_MOUSE,AT1B3_MOUSE,ANKR7_MOUSE,CCS_MOUSE"
NAC2_ARATH,6,"A8MR39_ARATH,BCH2_ARATH,ATL2_ARATH,DDPS1_ARATH,BH094_ARATH,RPIA_MOUSE"
VTC4_ARATH,6,"PLCA_MOUSE,TPM2_MOUSE,G0YZM8_MOUSE,MED8_MOUSE,ESTD_MOUSE,PPR3B_MOUSE"
FREE1_ARATH,6,"RAD17_ARATH,MYRS2_ARATH,LMNB1_MOUSE,K2C1B_MOUSE,AAE11_ARATH,WSCD2_MOUSE"
Q8RWT5_ARATH,6,"PRRP3_ARATH,STY17_ARATH,LINS_ARATH,4CL4_ARATH,GUX2_ARATH,AK1_ARATH"
F4I9D5_ARATH,6,"PDS_ARATH,OTOP2_MOUSE,FADK_ECOLI,GUX5_ARATH,PTR10_ARATH,PME46_ARATH"
PTR7_ARATH,6,"4CL1_ARATH,EST1E_MOUSE,MASY_ARATH,SUN5_ARATH,ASNS_MOUSE,4CLL9_ARATH"
HIS4_ARATH,6,"CARM1_MOUSE,BBS1_MOUSE,RECQ_ECOLI,PGMC1_ARATH,EYA1_MOUSE,DLD_ARATH"
GEX1_ARATH,6,"ICS1_ARATH,TGFR2_MOUSE,HSCA_ECOLI,CNDH2_MOUSE,ZAP70_MOUSE,COE2_MOUSE"
G6PI_MOUSE,6,"CCX2_ARATH,EIL5_ARATH,LAC11_ARATH,DPIB_ECOLI,4CL2_ARATH,ALAT2_ARATH"
ADT2_MOUSE,6,"SAT5_ARATH,A8MQQ8_ARATH,PECR_MOUSE,FBRL1_ARATH,ECH2_ARATH,PDX11_ARATH"
ADT1_MOUSE,6,"ALSB_ECOLI,B3GT5_MOUSE,GTRB_ECOLI,ERFK_ECOLI,FLGJ_ECOLI,COPE_MOUSE"
MCP2_ECOLI,6,"PME6_ARATH,F4JP80_ARATH,Q84WU1_ARATH,Q0WNX3_ARATH,DHFS_ARATH,CPNE7_MOUSE"
AIRE_MOUSE,6,"TBL1_ARATH,MMSA_MOUSE,PR19B_ARATH,ALB32_ARATH,Q80VF3_MOUSE,WRK42_ARATH"
RPK1_ARATH,6,"AXL1_ARATH,LEU1_ECOLI,CISY2_ARATH,C7351_ARATH,A0A3Q4EGU0_MOUSE,F4J6P6_ARATH"
DRTS1_ARATH,6,"1A12_ARATH,ULP1A_ARATH,BGL15_ARATH,2A5E_ARATH,ARI14_ARATH,DCE2_ARATH"
TPS1L_ARATH,6,"Q6NKR8_ARATH,PMK_ARATH,BICL2_MOUSE,TBL17_ARATH,Q9SYL7_ARATH,WRKY3_ARATH"
BIK1_ARATH,6,"AACT1_ARATH,AOP3L_ARATH,A1L4Y4_ARATH,ADT3_ARATH,ARC1A_ARATH,COL14_ARATH"
CHSY_ARATH,6,"FUT13_ARATH,HFB2B_ARATH,F4JN67_ARATH,KIME_ARATH,F4K452_ARATH,F4KBV6_ARATH"
RIBF_ECOLI,6,"SFMH_ECOLI,A1A6J3_ARATH,ATPG3_ARATH,CAN1_ARATH,CXE12_ARATH,EB1C_ARATH"
AIMP1_MOUSE,6,"RIR4_ECOLI,Q9FNB9_ARATH,O48720_ARATH,Q9LXY7_ARATH,PER4_ARATH,CBL_ECOLI"
MALY_ECOLI,6,"DGP3_ARATH,CADH3_ARATH,PS13A_ARATH,Q9SUC4_ARATH,APXS_ARATH,DPNPH_ARATH"
OMPT_ECOLI,6,"Q9ZQE0_ARATH,IPK_ARATH,AI5L1_ARATH,UNG_ARATH,LSRD_ECOLI,BKN1_ARATH"
RNF41_MOUSE,6,"FBX8_MOUSE,ZNRF4_MOUSE,GCAA_MOUSE,Q0VEP0_MOUSE,CCNH_MOUSE,EIF3G_MOUSE"
LYN_MOUSE,6,"F4I2F0_ARATH,IX14H_ARATH,CP239_MOUSE,AL8A1_MOUSE,BLUS1_ARATH,BGL14_ARATH"
ANKR1_MOUSE,6,"Q8VG01_MOUSE,S35A3_MOUSE,BRG3_ARATH,TR119_MOUSE,TA2R7_MOUSE,CIP8_ARATH"
AES_ECOLI,6,"SOT13_ARATH,OTU1_ARATH,VTA1_MOUSE,Q9FJJ6_ARATH,O04083_ARATH,FMT_ECOLI"
YY1_ARATH,6,"DGR2_ARATH,BMP15_MOUSE,F4HZE0_ARATH,NIMT_ECOLI,FNRL2_ARATH,Q9LF51_ARATH"
INO1_ARATH,6,"Q50E62_MOUSE,P4HTM_MOUSE,NDUV1_ARATH,ZSC4D_MOUSE,BH049_ARATH,Q9SR09_ARATH"
PSY_ARATH,6,"AUG4_ARATH,ACLA2_ARATH,ERA_ARATH,CKL5_ARATH,MVD1_MOUSE,AROD4_ARATH"
AIMP2_MOUSE,6,"AGD13_ARATH,OR2C1_MOUSE,HAT14_ARATH,MYB80_ARATH,Q94K59_ARATH,GGPP6_ARATH"
CAP12_ARATH,6,"MCA1_ARATH,NIF3L_MOUSE,ASHH3_ARATH,CADH6_ARATH,Q1PE50_ARATH,DAPA2_ARATH"
MOEA_ECOLI,6,"UIDC_ECOLI,Q9LDI9_ARATH,GLK1_ARATH,LIP2_ARATH,FBK70_ARATH,MRS25_ARATH"
FDFT1_ARATH,6,"SUCB_ARATH,RHMT_ECOLI,SOTB_ECOLI,RIBD_ARATH,ACOT6_MOUSE,RRA2_ARATH"
NADR_ECOLI,6,"BCS1_MOUSE,BAAT_MOUSE,ACNT1_MOUSE,ACL7B_MOUSE,HNRPF_MOUSE,NUP42_MOUSE"
BUP1_ARATH,6,"UDG_ECOLI,METL2_MOUSE,RT4I1_MOUSE,Q5SSG2_MOUSE,RCC1_MOUSE,Q6PH97_MOUSE"
AROD3_ARATH,6,"RB47A_ARATH,Q9LXZ7_ARATH,BH056_ARATH,CCB12_ARATH,CIPKO_ARATH,ILL4_ARATH"
PS6AB_ARATH,6,"GDIB_MOUSE,SHIA_ECOLI,ENOB_MOUSE,TMPS4_MOUSE,YHJE_ECOLI,GLTP_ECOLI"
FOXL2_MOUSE,6,"5MMP_ARATH,ALFC7_ARATH,OD232_ARATH,MRAY_ECOLI,THA1_ARATH,ALFC5_ARATH"
BZR1_ARATH,6,"O22248_ARATH,POHS1_ARATH,AFP1_ARATH,GGPP7_ARATH,ALIS1_ARATH,A8MR03_ARATH"
PUMPK_ARATH,6,"Q9M125_ARATH,5FCLL_ARATH,BG5_ARATH,COLX_ARATH,PLSX_ECOLI,LT4R1_MOUSE"
AROD5_ARATH,6,"HFLK_ECOLI,AAAS_ARATH,F4JL60_ARATH,BAG5_MOUSE,CBY2_MOUSE,ARASP_ARATH"
DRE2A_ARATH,6,"CITC_ECOLI,ZIP3_ARATH,DUSA_ECOLI,OPPD_ECOLI,YEEA_ECOLI,KERA_MOUSE"
DHAK_ECOLI,6,"F10A1_MOUSE,ZIP1_ARATH,MTR1B_MOUSE,GALR3_MOUSE,MBPHL_MOUSE,FA81A_MOUSE"
ISCS_ECOLI,6,"DOC2G_MOUSE,PEPA5_MOUSE,I6L9A3_MOUSE,Q9D1E7_MOUSE,LPCT1_ARATH,D0VY58_MOUSE"
G3PC1_ARATH,6,"TCEA3_MOUSE,Q6PEB5_MOUSE,GLO2M_ARATH,Q7TNE6_MOUSE,Q66JR0_MOUSE,Q6W9J7_MOUSE"
G3PC2_ARATH,6,"DCUP_ECOLI,AFP2_ARATH,PURB_MOUSE,AURKB_MOUSE,SCD4_MOUSE,ELMD1_MOUSE"
TIG_ECOLI,6,"CD205_ARATH,JAL40_ARATH,ACR4_ARATH,EF1A1_ARATH,5MAT_ARATH,U76C4_ARATH"
MPI1_ARATH,6,"COQA1_MOUSE,Q505G3_MOUSE,GBRA6_MOUSE,RU17_MOUSE,K1C27_MOUSE,PSNA_ARATH"
CYSK_ECOLI,6,"TCP20_ARATH,NFYC_MOUSE,6PGL3_ARATH,ELAV1_MOUSE,HEM2_MOUSE,TDCB_ECOLI"
APXT_ARATH,6,"FADI_ECOLI,DEGP1_ARATH,GDL21_ARATH,SPRE3_MOUSE,TOLB_ECOLI,ACOT9_MOUSE"
PORA_ARATH,6,"ELC_ARATH,SSR1_MOUSE,TOLA_ECOLI,FABI_ARATH,TRPB_ECOLI,KNAT4_ARATH"
LDHA_MOUSE,6,"GP146_MOUSE,RAD51_MOUSE,RSMC_ECOLI,ACOT8_MOUSE,A0A0A6YY53_MOUSE,RUVB_ECOLI"
MDHP_ARATH,6,"CADM4_MOUSE,MAEA_MOUSE,BABA2_MOUSE,RFOX1_MOUSE,SNIP1_MOUSE,R3GEF_MOUSE"
PDRP1_ARATH,6,"DOR_ARATH,MP2K1_MOUSE,GMPPA_MOUSE,HT1_ARATH,RLMI_ECOLI,METC_ECOLI"
G3P1_ECOLI,6,"ACL5_ARATH,KCNK1_MOUSE,NFYA_MOUSE,TACD2_MOUSE,VP26A_MOUSE,PURA_MOUSE"
MK01_MOUSE,6,"SMS2_MOUSE,Q543D2_MOUSE,DHSO_ARATH,Q8K3L4_MOUSE,TLRN1_MOUSE,RILP_MOUSE"
PORB_ARATH,6,"GLXK1_ECOLI,B4GT1_MOUSE,SPO12_ARATH,B1L_ARATH,KAP1_MOUSE,KLDC3_MOUSE"
EF1A3_ARATH,6,"AED1_ARATH,BH062_ARATH,GSA2_ARATH,IFRD1_MOUSE,IDD7_ARATH,ABAH4_ARATH"
EF1A4_ARATH,6,"Q9LR10_ARATH,ARLY_ECOLI,MCES_MOUSE,WIP3_ARATH,UN933_ARATH,Q9FJW9_ARATH"
MALK_ECOLI,6,"ZDH18_MOUSE,Q3TJ69_MOUSE,NNRD_ARATH,DEK_MOUSE,CCR5_MOUSE,RBMY_MOUSE"
BIRA_ECOLI,6,"WRK18_ARATH,AHL27_ARATH,ZC3H8_MOUSE,GAS2_MOUSE,SIC_ARATH,RBG3_ARATH"
APXS_ARATH,6,"RGGA_ARATH,S8H_ARATH,MLTB_ECOLI,A70_ARATH,ACTA_MOUSE,SERC_ECOLI"
G3P_MOUSE,6,"M3K20_ARATH,M3K18_ARATH,NRL2_ARATH,DMC1_MOUSE,AK1CL_MOUSE,PDGFC_MOUSE"
